location_id,location_name,centreline_id,direction,date,year,month,day_of_week,is_weekend,observed_hour_count,daily_total_volume,peak_hour_volume,peak_ratio,avg_observed_hourly_volume,peak_hour_concentration,traffic_demand_intensity,throughput_proxy,queue_pressure_proxy,delay_pressure_proxy
10133019_NB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,NB,2016-06-05,2016,6,6,1,24,17236,1173,0.0680552332327686,718.1666666666666,1.6333255975864471,0.8771947681815868,17236,454.83333333333337,0.6333255975864471
10133019_NB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,NB,2017-06-20,2017,6,1,0,24,19876,1369,0.0688770376333266,828.1666666666666,1.653048903199839,1.0115527507761208,19876,540.8333333333334,0.653048903199839
10133019_NB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,NB,2017-06-21,2017,6,2,0,24,19649,1351,0.0687566797292483,818.7083333333334,1.6501603135019594,1.0,19649,532.2916666666666,0.6501603135019594
10133019_NB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,NB,2017-06-22,2017,6,3,0,24,19815,1374,0.069341408024224,825.625,1.6641937925813777,1.0084482670873836,19815,548.375,0.6641937925813777
10133019_NB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,NB,2019-02-05,2019,2,1,0,24,55,19,0.3454545454545454,2.2916666666666665,8.290909090909091,0.0027991246373861266,55,16.708333333333332,7.290909090909091
10133019_NB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,NB,2019-02-06,2019,2,2,0,24,20,7,0.35,0.8333333333333334,8.4,0.001017863504504046,20,6.166666666666667,7.4
10133019_NB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,NB,2019-02-07,2019,2,3,0,24,61,18,0.2950819672131147,2.5416666666666665,7.081967213114755,0.0031044836887373405,61,15.458333333333334,6.081967213114755
10133019_SB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,SB,2019-02-05,2019,2,1,0,24,6,4,0.6666666666666666,0.25,16.0,1.0,6,3.75,15.0
10133019_SB,Keele St: Wycombe Rd - Sheppard Ave W,10133019,SB,2019-02-07,2019,2,3,0,24,6,3,0.5,0.25,12.0,1.0,6,2.75,11.0
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2016-05-30,2016,5,0,0,24,19148,1424,0.074368080217255,797.8333333333334,1.7848339252141214,0.969126429800587,19148,626.1666666666666,0.7848339252141214
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2016-05-31,2016,5,1,0,24,19689,1553,0.0788765300421555,820.375,1.8930367210117325,0.9965077436987549,19689,732.625,0.8930367210117325
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2016-06-01,2016,6,2,0,24,18970,1483,0.0781760674749604,790.4166666666666,1.8762256193990512,0.9601174207915781,18970,692.5833333333334,0.8762256193990512
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2016-06-02,2016,6,3,0,24,19827,1506,0.0759570282947495,826.125,1.82296867907399,1.0034922563012452,19827,679.875,0.8229686790739901
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2016-06-03,2016,6,4,0,24,19930,1474,0.0739588559959859,830.4166666666666,1.7750125439036628,1.0087053345480312,19930,643.5833333333334,0.7750125439036628
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2016-06-04,2016,6,5,1,24,17534,1223,0.069750199612182,730.5833333333334,1.674004790692369,0.8874379997975503,17534,492.41666666666663,0.674004790692369
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2016-06-05,2016,6,6,1,24,14680,1129,0.0769073569482288,611.6666666666666,1.8457765667574932,0.7429901811924284,14680,517.3333333333334,0.8457765667574932
10133796_SB,Keele St: Wilson Ave - Victory Dr,10133796,SB,2017-06-20,2017,6,1,0,24,22111,1387,0.062728958436977,921.2916666666666,1.5054950024874498,1.119091001113473,22111,465.70833333333337,0.5054950024874498
