Model,RMSE,MAE,RMSE % Change vs Best Model,MAE % Change vs Best Model
Random Forest,135.34323274392315,83.85432392234794,0.00%,0.00%
XGBoost,141.25675999568884,85.81183418678883,4.37%,2.33%
TFT (Proxy structure),142.07425877998833,86.01542227971798,4.97%,2.58%
Naive Baseline (Lag 1),253.42157700041204,170.87320930835548,87.24%,103.77%
