date,daily_total_volume,peak_hour_volume,peak_ratio,congestion_target,year,month,quarter,day_of_week,is_weekend,week_of_year,lag_1,lag_7,lag_14,roll_7_mean,roll_14_mean,roll_7_std
2017-09-20,139522,13579,0.0973251530224624,139522,2017,9,3,2,0,38,141340.0,55004.0,16538.0,62900.142857142855,94854.64285714286,35386.686919549225
2017-09-21,140906,13546,0.09613501199381148,140906,2017,9,3,3,0,38,139522.0,54596.0,178171.0,74974.14285714286,103639.21428571429,45279.49361991079
2017-09-22,144340,13514,0.09362616045448247,144340,2017,9,3,4,0,38,140906.0,55628.0,155740.0,87304.14285714286,100977.42857142857,50280.768415722865
2017-09-23,101124,7934,0.078458130611922,101124,2017,9,3,5,1,38,144340.0,54751.0,159023.0,99977.28571428571,100163.14285714286,52112.67465697897
2017-09-24,86833,7236,0.083332373636751,86833,2017,9,3,6,1,38,101124.0,42129.0,165042.0,106602.0,96027.5,48206.284718205745
2017-09-25,138883,13814,0.09946501731673422,138883,2017,9,3,0,0,39,86833.0,36853.0,161483.0,112988.28571428571,90441.14285714286,40603.01391404524
2017-09-26,23965,2220,0.09263509284373043,23965,2017,9,3,1,0,39,138883.0,141340.0,51667.0,127564.0,88826.85714285714,23375.281823600264
2017-09-27,23375,2278,0.09745454545454546,23375,2017,9,3,2,0,39,23965.0,139522.0,55004.0,110796.14285714286,86848.14285714286,44447.10375801304
2017-09-28,24857,2495,0.10037414008126483,24857,2017,9,3,3,0,39,23375.0,140906.0,54596.0,94203.71428571429,84588.92857142857,52825.799794268445
2017-09-29,25988,2288,0.08804063413883331,25988,2017,9,3,4,0,39,24857.0,144340.0,55628.0,77625.28571428571,82464.71428571429,53924.8612692153
2017-09-30,21276,1600,0.07520210565895845,21276,2017,9,3,5,1,39,25988.0,101124.0,54751.0,60717.857142857145,80347.57142857143,47717.69791327107
2017-10-01,17811,1473,0.08270170119589018,17811,2017,10,4,6,1,39,21276.0,86833.0,42129.0,49311.0,77956.5,45960.238522002095
2017-10-02,22800,2242,0.09833333333333333,22800,2017,10,4,0,0,40,17811.0,138883.0,36853.0,39450.71428571428,76219.5,43927.6564846955
2017-10-24,13686,2011,0.14693847727604853,13686,2017,10,4,1,0,43,22800.0,23965.0,141340.0,22867.428571428572,75215.71428571429,2685.2471552937504
2017-10-25,13499,2003,0.14838136158233944,13499,2017,10,4,2,0,43,13686.0,23375.0,139522.0,21399.0,66097.57142857143,4306.261023126376
2017-10-26,13969,2009,0.1438184551506908,13969,2017,10,4,3,0,43,13499.0,24857.0,140906.0,19988.14285714286,57095.92857142857,5096.32388513065
2018-04-10,124,16,0.12903225806451613,124,2018,4,2,1,0,15,13969.0,25988.0,144340.0,18432.714285714286,48029.0,5023.675736356435
2018-04-11,110,17,0.15454545454545454,110,2018,4,2,2,0,15,124.0,21276.0,101124.0,14737.857142857143,37727.857142857145,7460.862314470177
2018-04-12,144,20,0.1388888888888889,144,2018,4,2,3,0,15,110.0,17811.0,86833.0,11714.142857142857,30512.571428571428,8575.29158739291
2018-05-11,248795,17403,0.06994915492674691,248795,2018,5,2,4,0,19,144.0,22800.0,138883.0,9190.285714285714,24320.5,9067.536503228459
2018-05-12,233977,16367,0.06995132000153861,233977,2018,5,2,5,1,19,248795.0,13686.0,23965.0,41475.28571428572,32171.35714285714,91671.75820958934
2018-05-13,210390,15875,0.07545510718190028,210390,2018,5,2,6,1,19,233977.0,13499.0,23375.0,72945.42857142857,47172.21428571428,115307.08555975674
2018-05-14,219131,16303,0.07439841921042664,219131,2018,5,2,0,0,20,210390.0,13969.0,24857.0,101072.71428571429,60530.42857142857,122197.56327045754
2018-05-15,231661,16988,0.07333129011788778,231661,2018,5,2,1,0,20,219131.0,124.0,25988.0,130381.57142857143,74407.14285714286,122427.60095236608
